Host Response Rate,Latitude,Longitude,Accomodates,Bathrooms,Bedrooms,Beds,Price,Guests Included,Min Nights,Reviews,Overall Rating,Accuracy Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Value Rating,Host Response Time_a few days or more,Host Response Time_within a day,Host Response Time_within a few hours,Host Response Time_within an hour,Is Superhost_t,neighbourhood_Alt-Treptow,neighbourhood_Charlottenburg,neighbourhood_Friedrichshain,neighbourhood_Kreuzberg,neighbourhood_Lichtenberg,neighbourhood_Mitte,neighbourhood_Moabit,neighbourhood_NeukÃ¶lln,neighbourhood_Other,neighbourhood_Pankow,neighbourhood_Prenzlauer Berg,neighbourhood_Reinickendorf,neighbourhood_Rummelsburg,neighbourhood_SchÃ¶neberg,neighbourhood_Steglitz,neighbourhood_Tempelhof,neighbourhood_Tiergarten,neighbourhood_Wedding,neighbourhood_WeiÃensee,neighbourhood_Westend,neighbourhood_Wilmersdorf,Neighborhood Group_Friedrichshain-Kreuzberg,Neighborhood Group_Lichtenberg,Neighborhood Group_Marzahn - Hellersdorf,Neighborhood Group_Mitte,Neighborhood Group_NeukÃ¶lln,Neighborhood Group_Pankow,Neighborhood Group_Reinickendorf,Neighborhood Group_Spandau,Neighborhood Group_Steglitz - Zehlendorf,Neighborhood Group_Tempelhof - SchÃ¶neberg,Neighborhood Group_Treptow - KÃ¶penick,Is Exact Location_t,Property Type_Bed and breakfast,Property Type_Boat,Property Type_Boutique hotel,Property Type_Bungalow,Property Type_Cabin,Property Type_Condominium,Property Type_Cottage,Property Type_Earth house,Property Type_Guest suite,Property Type_Guesthouse,Property Type_Hostel,Property Type_Hotel,Property Type_House,Property Type_Houseboat,Property Type_Loft,Property Type_Other,Property Type_Serviced apartment,Property Type_Tiny house,Property Type_Townhouse,Property Type_Villa,Room Type_Private room,Room Type_Shared room,Instant Bookable_t
100.0,52.56228,13.36481,3,1.0,1.0,2.0,50.0,1,2,91,90.0,9.0,8.0,9.0,9.0,9.0,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,52.51427,13.33773,2,1.0,1.0,2.0,89.0,1,4,59,98.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,52.52235,13.33811,2,1.0,0.0,1.0,50.0,1,2,45,93.0,10.0,9.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,52.53315,13.40352,2,1.0,0.0,1.0,93.0,2,3,72,94.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,52.50647,13.34764,4,1.0,1.0,1.0,54.0,2,3,102,83.0,9.0,8.0,10.0,10.0,10.0,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,52.52236,13.3238,2,1.0,1.0,1.0,25.0,1,3,79,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,52.50961,13.40549,2,1.0,1.0,1.0,39.0,1,4,44,94.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,52.49958,13.3699,4,2.0,2.0,2.0,200.0,3,2,84,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,52.49784,13.3473,3,1.0,1.0,2.0,70.0,1,1,28,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,52.46676,13.34333,3,1.0,1.0,2.0,89.0,2,4,57,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.0,52.49952,13.39029,3,1.0,1.0,2.0,49.0,1,1,17,85.0,9.0,9.0,9.0,9.0,9.0,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88.0,52.51027,13.45948,2,1.0,1.0,1.0,48.0,1,3,12,87.0,9.0,9.0,9.0,9.0,10.0,8.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,52.52146,13.38885,8,1.0,3.0,5.0,139.0,3,1,130,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,52.5114,13.41609,6,1.0,3.0,4.0,115.0,2,5,61,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,52.53615,13.50547,5,1.0,2.0,2.0,99.0,2,1,19,95.0,10.0,10.0,10.0,10.0,9.0,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,52.49701,13.34813,5,1.0,0.0,2.0,53.0,1,1,70,89.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,52.5153,13.46639,2,1.0,1.0,1.0,32.0,1,2,86,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80.0,52.4785,13.44535,2,1.0,1.0,1.0,30.0,1,1,94,93.0,10.0,9.0,10.0,10.0,9.0,9.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
100.0,52.52732,13.41237,2,1.0,1.0,1.0,63.0,1,4,218,97.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,52.49257,13.33575,4,1.0,2.0,3.0,63.0,2,2,185,88.0,9.0,9.0,9.0,10.0,10.0,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
